Month,Category,Account,Department,Budget_Amount
2025-01,Revenue,Subscription Revenue - Starter,Sales,43000
2025-01,Revenue,Subscription Revenue - Professional,Sales,82000
2025-01,Revenue,Subscription Revenue - Enterprise,Sales,115000
2025-01,Revenue,Professional Services Revenue,Customer Success,24000
2025-01,Revenue,Setup & Onboarding Fees,Customer Success,7500
2025-01,Cost of Revenue,Cloud Hosting & Infrastructure,Operations,30000
2025-01,Cost of Revenue,Customer Support Salaries,Customer Success,28000
2025-01,Cost of Revenue,Payment Processing Fees,Finance,7800
2025-01,Cost of Revenue,Third-Party Software Licenses,Operations,5500
2025-01,Sales & Marketing,Digital Marketing & Advertising,Marketing,40000
2025-01,Sales & Marketing,Sales Team Salaries,Sales,65000
2025-01,Sales & Marketing,Marketing Team Salaries,Marketing,35000
2025-01,Sales & Marketing,Sales Commissions,Sales,21000
2025-01,Sales & Marketing,Marketing Tools & Platforms,Marketing,8500
2025-01,Sales & Marketing,Events & Conferences,Marketing,10000
2025-01,Sales & Marketing,Sales Development Tools,Sales,4500
2025-01,Research & Development,Engineering Team Salaries,Engineering,95000
2025-01,Research & Development,Product Team Salaries,Product,40000
2025-01,Research & Development,Development Tools & Software,Engineering,12000
2025-01,Research & Development,QA & Testing,Engineering,8500
2025-01,Research & Development,Cloud Development Environment,Engineering,6500
2025-01,General & Administrative,Executive Team Salaries,Executive,55000
2025-01,General & Administrative,Finance Team Salaries,Finance,25000
2025-01,General & Administrative,Operations Team Salaries,Operations,30000
2025-01,General & Administrative,Office Rent & Facilities,Operations,18000
2025-01,General & Administrative,Legal & Compliance,Finance,8500
2025-01,General & Administrative,Accounting & Audit Fees,Finance,7500
2025-01,General & Administrative,HR & Recruiting,Operations,10000
2025-01,General & Administrative,Insurance,Finance,4500
2025-01,General & Administrative,IT & Office Equipment,Operations,6000
2025-01,General & Administrative,Office Supplies & Misc,Operations,2500
2025-02,Revenue,Subscription Revenue - Starter,Sales,43000
2025-02,Revenue,Subscription Revenue - Professional,Sales,82000
2025-02,Revenue,Subscription Revenue - Enterprise,Sales,115000
2025-02,Revenue,Professional Services Revenue,Customer Success,24000
2025-02,Revenue,Setup & Onboarding Fees,Customer Success,7500
2025-02,Cost of Revenue,Cloud Hosting & Infrastructure,Operations,30000
2025-02,Cost of Revenue,Customer Support Salaries,Customer Success,28000
